"filename", "language", "Makefile", "C", "Markdown", "C++", "comment", "blank", "total"
"/home/simon/Projects/Dev/MemObjStorage/Makefile", "Makefile", 73, 0, 0, 0, 15, 20, 108
"/home/simon/Projects/Dev/MemObjStorage/README.md", "Markdown", 0, 0, 9, 0, 0, 2, 11
"/home/simon/Projects/Dev/MemObjStorage/include/mos.h", "C++", 0, 0, 0, 62, 74, 23, 159
"/home/simon/Projects/Dev/MemObjStorage/include/mos_idx.h", "C++", 0, 0, 0, 54, 10, 12, 76
"/home/simon/Projects/Dev/MemObjStorage/include/mos_idx_hmap.h", "C++", 0, 0, 0, 30, 64, 14, 108
"/home/simon/Projects/Dev/MemObjStorage/include/mos_idx_hnsw.h", "C++", 0, 0, 0, 71, 43, 24, 138
"/home/simon/Projects/Dev/MemObjStorage/include/mos_internal.h", "C++", 0, 0, 0, 156, 70, 33, 259
"/home/simon/Projects/Dev/MemObjStorage/include/mos_math.h", "C++", 0, 0, 0, 15, 30, 13, 58
"/home/simon/Projects/Dev/MemObjStorage/include/mos_os.h", "C++", 0, 0, 0, 68, 4, 18, 90
"/home/simon/Projects/Dev/MemObjStorage/include/mos_qry.h", "C++", 0, 0, 0, 9, 3, 3, 15
"/home/simon/Projects/Dev/MemObjStorage/include/mos_string.h", "C++", 0, 0, 0, 33, 65, 11, 109
"/home/simon/Projects/Dev/MemObjStorage/include/mos_types_fwd.h", "C++", 0, 0, 0, 26, 6, 5, 37
"/home/simon/Projects/Dev/MemObjStorage/include/mos_utils.h", "C++", 0, 0, 0, 36, 15, 14, 65
"/home/simon/Projects/Dev/MemObjStorage/src/main.c", "C", 0, 63, 0, 0, 9, 13, 85
"/home/simon/Projects/Dev/MemObjStorage/src/mos_core.c", "C", 0, 484, 0, 0, 86, 117, 687
"/home/simon/Projects/Dev/MemObjStorage/src/mos_idx.c", "C", 0, 55, 0, 0, 8, 16, 79
"/home/simon/Projects/Dev/MemObjStorage/src/mos_idx_hmap.c", "C", 0, 190, 0, 0, 16, 51, 257
"/home/simon/Projects/Dev/MemObjStorage/src/mos_idx_hnsw.c", "C", 0, 531, 0, 0, 119, 114, 764
"/home/simon/Projects/Dev/MemObjStorage/src/mos_math.c", "C", 0, 62, 0, 0, 10, 18, 90
"/home/simon/Projects/Dev/MemObjStorage/src/mos_qry.c", "C", 0, 303, 0, 0, 51, 54, 408
"/home/simon/Projects/Dev/MemObjStorage/src/mos_string.c", "C", 0, 58, 0, 0, 11, 15, 84
"Total", "-", 73, 1746, 9, 560, 709, 590, 3687
